NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial,Nr_of_mutations
6,9,5.913,1,1,a,tf2ekjffoeoptr3,Query,17,1
2,3,3.023,1,1,a,tf2ekjffoeoptr3,Query,18,1
1,1,1.858,1,1,a,tf2ekjffoeoptr3,Query,19,1
7,12,7.849,1,1,a,tf2ekjffoeoptr3,Query,20,1
3,5,3.149,1,1,a,tf2ekjffoeoptr3,Query,21,1
1,1,1.038,1,1,a,tf2ekjffoeoptr3,Query,22,1
5,9,7.769,0,1,a,tf2ekjffoeoptr3,Query,23,1
4,7,15.855,1,1,a,tf2ekjffoeoptr3,Query,24,1
3,5,3.639,1,1,a,tf2ekjffoeoptr3,Query,25,1
1,1,0.872,1,1,a,tf2ekjffoeoptr3,Query,26,1
1,1,0.964,1,1,a,tf2ekjffoeoptr3,Query,27,1
5,9,6.864,1,1,a,tf2ekjffoeoptr3,Query,28,1
3,5,3.315,1,1,a,tf2ekjffoeoptr3,Query,29,1
4,7,4.263,1,1,a,tf2ekjffoeoptr3,Query,30,1
6,11,4.252,1,1,a,tf2ekjffoeoptr3,Query,31,1
6,11,3.547,1,1,a,tf2ekjffoeoptr3,Query,32,1
1,1,1.005,1,1,a,tf2ekjffoeoptr3,Query,33,1
3,5,2.215,1,1,a,tf2ekjffoeoptr3,Query,34,1
4,7,1.644,1,1,a,tf2ekjffoeoptr3,Query,35,1
6,11,7.439,1,1,fae,tf2ekjffoeoptr3,Sequence,1,1
4,7,13.141,1,1,fae,tf2ekjffoeoptr3,Sequence,2,1
6,10,10.879,1,1,fae,tf2ekjffoeoptr3,Sequence,3,1
4,7,7.749,1,1,fae,tf2ekjffoeoptr3,Sequence,4,1
5,7,6.028,1,1,fae,tf2ekjffoeoptr3,Sequence,5,1
6,11,8.349,1,1,fae,tf2ekjffoeoptr3,Sequence,6,1
1,1,1.036,1,1,fae,tf2ekjffoeoptr3,Sequence,7,1
3,5,4.071,1,1,fae,tf2ekjffoeoptr3,Sequence,8,1
7,12,9.168,1,1,fae,tf2ekjffoeoptr3,Sequence,9,1
3,5,3.713,1,1,fae,tf2ekjffoeoptr3,Sequence,10,1
7,11,7.498,0,1,fae,tf2ekjffoeoptr3,Sequence,11,1
5,9,8.288,1,1,fae,tf2ekjffoeoptr3,Sequence,12,1
5,9,6.588,1,1,fae,tf2ekjffoeoptr3,Sequence,13,1
6,11,6.129,1,0,fae,tf2ekjffoeoptr3,Sequence,14,1
1,1,4.886,1,1,fae,tf2ekjffoeoptr3,Sequence,15,1
2,3,1.732,1,1,fae,tf2ekjffoeoptr3,Sequence,16,1
5,9,6.98,1,1,fae,tf2ekjffoeoptr3,Sequence,17,1
7,11,9.5,1,1,fae,tf2ekjffoeoptr3,Sequence,18,1
2,3,1.666,1,1,fae,tf2ekjffoeoptr3,Sequence,19,1
5,9,21.116,1,1,fae,tf2ekjffoeoptr3,Sequence,20,1
2,3,11.925,1,1,fae,tf2ekjffoeoptr3,Sequence,21,1
3,5,2.342,1,1,fae,tf2ekjffoeoptr3,Sequence,22,1
4,7,7.613,1,1,fae,tf2ekjffoeoptr3,Sequence,23,1
4,7,7.615,1,1,fae,tf2ekjffoeoptr3,Sequence,24,1
2,3,4.883,1,1,fae,tf2ekjffoeoptr3,Sequence,25,1
2,3,1.245,1,1,fae,tf2ekjffoeoptr3,Sequence,26,1
3,5,1.991,1,1,fae,tf2ekjffoeoptr3,Sequence,27,1
7,10,7.611,1,1,fae,tf2ekjffoeoptr3,Sequence,28,1
4,7,9.728,1,1,fae,tf2ekjffoeoptr3,Sequence,29,1
1,1,1.302,1,1,fae,tf2ekjffoeoptr3,Sequence,30,1
3,5,2.042,1,1,fae,tf2ekjffoeoptr3,Sequence,31,1
6,11,7.983,1,1,fae,tf2ekjffoeoptr3,Sequence,32,1
1,1,1.181,1,1,fae,tf2ekjffoeoptr3,Sequence,33,1
7,12,9.416,1,1,fae,tf2ekjffoeoptr3,Sequence,34,1
1,1,0.781,1,1,fae,tf2ekjffoeoptr3,Sequence,35,1
1,1,0.704,1,1,a,tf2ekjffoeoptr3,None,1,1
3,5,1.971,1,1,a,tf2ekjffoeoptr3,None,2,1
2,3,0.928,1,1,a,tf2ekjffoeoptr3,None,3,1
4,7,5.882,1,1,a,tf2ekjffoeoptr3,None,4,1
7,10,7.93,1,1,a,tf2ekjffoeoptr3,None,5,1
5,9,8.501,1,1,a,tf2ekjffoeoptr3,None,6,1
7,10,8.605,0,1,a,tf2ekjffoeoptr3,None,7,1
5,9,9.064,1,1,a,tf2ekjffoeoptr3,None,8,1
1,1,0.779,1,1,a,tf2ekjffoeoptr3,None,9,1
1,1,0.817,1,1,a,tf2ekjffoeoptr3,None,10,1
4,7,7.954,1,1,a,tf2ekjffoeoptr3,None,11,1
5,9,7.706,1,1,a,tf2ekjffoeoptr3,None,12,1
6,9,6.66,1,1,a,tf2ekjffoeoptr3,None,13,1
4,7,15.665,1,1,a,tf2ekjffoeoptr3,None,14,1
1,1,0.964,1,1,a,tf2ekjffoeoptr3,None,15,1
3,5,2.198,1,1,a,tf2ekjffoeoptr3,None,16,1
6,9,6.5,1,1,a,tf2ekjffoeoptr3,None,17,1
4,6,19.032,1,1,a,tf2ekjffoeoptr3,None,18,1
1,1,0.781,1,1,a,tf2ekjffoeoptr3,None,19,1
6,8,6.8,1,1,a,tf2ekjffoeoptr3,None,20,1
6,9,8.049,1,1,a,tf2ekjffoeoptr3,None,21,1
2,3,0.847,1,1,a,tf2ekjffoeoptr3,None,22,1
2,3,1.11,1,1,a,tf2ekjffoeoptr3,None,23,1
7,10,7.104,0,1,a,tf2ekjffoeoptr3,None,24,1
2,3,1.163,1,1,a,tf2ekjffoeoptr3,None,25,1
3,5,3.062,0,1,a,tf2ekjffoeoptr3,None,26,1
2,3,1.208,1,1,a,tf2ekjffoeoptr3,None,27,1
