NoB,time,realRT,accuracy,realAccuracy,threshold,connection,startAtSmall,participant,Structure,trial,trueConnection
4,7,0.595,1,1,4,a,0,rbrzxgywqun5ned,Query,28,0
2,3,0.425,1,1,4,a,0,rbrzxgywqun5ned,Query,29,0
2,3,0.996,1,1,4,a,0,rbrzxgywqun5ned,Query,30,0
4,7,0.621,1,1,4,a,0,rbrzxgywqun5ned,Query,31,0
1,1,0.552,1,1,4,a,0,rbrzxgywqun5ned,Query,32,0
3,5,0.87,1,1,4,a,0,rbrzxgywqun5ned,Query,33,0
7,10,2.554,1,1,4,a,0,rbrzxgywqun5ned,Query,34,0
3,5,0.54,1,1,4,a,0,rbrzxgywqun5ned,Query,35,0
4,7,3.026,1,1,7,a,0,jlbt4al7q4sv0kj,Query,1,0
2,3,15.804,1,1,7,a,0,jlbt4al7q4sv0kj,Query,2,0
1,1,1.744,1,1,7,a,0,jlbt4al7q4sv0kj,Query,3,0
3,5,2.864,1,1,7,a,0,jlbt4al7q4sv0kj,Query,4,0
1,1,4.581,1,1,7,a,0,jlbt4al7q4sv0kj,Query,5,0
2,3,2.298,1,1,6,a,0,jlbt4al7q4sv0kj,Query,6,0
6,11,5.721,1,1,6,a,0,jlbt4al7q4sv0kj,Query,7,0
4,7,6.244,1,1,6,a,0,jlbt4al7q4sv0kj,Query,8,0
5,9,6.167,1,1,6,a,0,jlbt4al7q4sv0kj,Query,9,0
7,12,5.358,1,1,6,a,0,jlbt4al7q4sv0kj,Query,10,0
5,9,5.248,1,1,6,a,0,jlbt4al7q4sv0kj,Query,11,0
3,5,4.735,1,1,6,a,0,jlbt4al7q4sv0kj,Query,12,0
2,3,6.638,1,1,6,a,0,jlbt4al7q4sv0kj,Query,13,0
7,12,2.772,1,1,5,a,0,jlbt4al7q4sv0kj,Query,14,0
6,10,5.888,1,1,5,a,0,jlbt4al7q4sv0kj,Query,15,0
7,11,3.757,1,1,5,a,0,jlbt4al7q4sv0kj,Query,16,0
3,5,3.863,1,1,5,a,0,jlbt4al7q4sv0kj,Query,17,0
3,5,3.079,1,1,5,a,0,jlbt4al7q4sv0kj,Query,18,0
2,3,2.869,1,1,5,a,0,jlbt4al7q4sv0kj,Query,19,0
7,11,7.417,1,1,5,a,0,jlbt4al7q4sv0kj,Query,20,0
6,10,5.293,1,1,5,a,0,jlbt4al7q4sv0kj,Query,21,0
