NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial
4,7,6.25,0.2,1,a,tf2ekjffoeoptr3,Query,6
5,9,9.42,1,1,a,tf2ekjffoeoptr3,Query,7
4,7,5.914,1,1,a,tf2ekjffoeoptr3,Query,8
7,11,6.149,0.8,1,a,tf2ekjffoeoptr3,Query,9
2,3,2.267,1,1,a,tf2ekjffoeoptr3,Query,10
6,8,10.795,1,1,a,tf2ekjffoeoptr3,Query,11
5,6,7.567,0.13333333333333333,1,a,tf2ekjffoeoptr3,Query,12
7,8,10.748,0.9333333333333333,1,a,tf2ekjffoeoptr3,Query,13
2,3,2.597,1,1,a,tf2ekjffoeoptr3,Query,14
5,6,7.708,1,0,a,tf2ekjffoeoptr3,Query,15
2,3,3.82,1,1,a,tf2ekjffoeoptr3,Query,16
6,7,5.913,1,1,a,tf2ekjffoeoptr3,Query,17
2,3,3.023,1,1,a,tf2ekjffoeoptr3,Query,18
1,1,1.858,1,1,a,tf2ekjffoeoptr3,Query,19
7,8,7.849,1,1,a,tf2ekjffoeoptr3,Query,20
3,4,3.149,0.9333333333333333,1,a,tf2ekjffoeoptr3,Query,21
1,1,1.038,1,1,a,tf2ekjffoeoptr3,Query,22
5,6,7.769,0.9333333333333333,1,a,tf2ekjffoeoptr3,Query,23
4,5,15.855,1,1,a,tf2ekjffoeoptr3,Query,24
3,4,3.639,1,1,a,tf2ekjffoeoptr3,Query,25
1,1,0.872,1,1,a,tf2ekjffoeoptr3,Query,26
1,1,0.964,1,1,a,tf2ekjffoeoptr3,Query,27
5,6,6.864,1,1,a,tf2ekjffoeoptr3,Query,28
3,4,3.315,1,1,a,tf2ekjffoeoptr3,Query,29
4,5,4.263,1,1,a,tf2ekjffoeoptr3,Query,30
6,7,4.252,1,1,a,tf2ekjffoeoptr3,Query,31
6,7,3.547,1,1,a,tf2ekjffoeoptr3,Query,32
1,1,1.005,1,1,a,tf2ekjffoeoptr3,Query,33
3,4,2.215,0.6666666666666666,1,a,tf2ekjffoeoptr3,Query,34
4,5,1.644,1,1,a,tf2ekjffoeoptr3,Query,35
6,11,7.439,0.5333333333333333,1,fae,tf2ekjffoeoptr3,Sequence,1
4,7,13.141,1,1,fae,tf2ekjffoeoptr3,Sequence,2
6,11,10.879,0.8,1,fae,tf2ekjffoeoptr3,Sequence,3
4,7,7.749,0.8666666666666667,1,fae,tf2ekjffoeoptr3,Sequence,4
5,9,6.028,1,1,fae,tf2ekjffoeoptr3,Sequence,5
6,11,8.349,0.8,1,fae,tf2ekjffoeoptr3,Sequence,6
1,1,1.036,1,1,fae,tf2ekjffoeoptr3,Sequence,7
3,5,4.071,1,1,fae,tf2ekjffoeoptr3,Sequence,8
7,11,9.168,0.4666666666666667,1,fae,tf2ekjffoeoptr3,Sequence,9
3,5,3.713,1,1,fae,tf2ekjffoeoptr3,Sequence,10
7,11,7.498,0.26666666666666666,1,fae,tf2ekjffoeoptr3,Sequence,11
5,9,8.288,0.8,1,fae,tf2ekjffoeoptr3,Sequence,12
5,9,6.588,0.9333333333333333,1,fae,tf2ekjffoeoptr3,Sequence,13
6,10,6.129,1,0,fae,tf2ekjffoeoptr3,Sequence,14
1,1,4.886,1,1,fae,tf2ekjffoeoptr3,Sequence,15
2,3,1.732,0.9333333333333333,1,fae,tf2ekjffoeoptr3,Sequence,16
5,9,6.98,0.9333333333333333,1,fae,tf2ekjffoeoptr3,Sequence,17
7,10,9.5,0.4666666666666667,1,fae,tf2ekjffoeoptr3,Sequence,18
2,3,1.666,1,1,fae,tf2ekjffoeoptr3,Sequence,19
5,9,21.116,0.9333333333333333,1,fae,tf2ekjffoeoptr3,Sequence,20
2,3,11.925,1,1,fae,tf2ekjffoeoptr3,Sequence,21
3,5,2.342,0.9333333333333333,1,fae,tf2ekjffoeoptr3,Sequence,22
4,6,7.613,1,1,fae,tf2ekjffoeoptr3,Sequence,23
4,6,7.615,1,1,fae,tf2ekjffoeoptr3,Sequence,24
2,3,4.883,1,1,fae,tf2ekjffoeoptr3,Sequence,25
2,3,1.245,1,1,fae,tf2ekjffoeoptr3,Sequence,26
3,4,1.991,1,1,fae,tf2ekjffoeoptr3,Sequence,27
7,9,7.611,1,1,fae,tf2ekjffoeoptr3,Sequence,28
4,5,9.728,1,1,fae,tf2ekjffoeoptr3,Sequence,29
1,1,1.302,1,1,fae,tf2ekjffoeoptr3,Sequence,30
3,3,2.042,1,1,fae,tf2ekjffoeoptr3,Sequence,31
6,6,7.983,0.8666666666666667,1,fae,tf2ekjffoeoptr3,Sequence,32
1,1,1.181,1,1,fae,tf2ekjffoeoptr3,Sequence,33
7,8,9.416,0.3333333333333333,1,fae,tf2ekjffoeoptr3,Sequence,34
1,1,0.781,1,1,fae,tf2ekjffoeoptr3,Sequence,35
