NoB,time,realRT,accuracy,realAccuracy,trueConnection,participant,Structure,trial
3,5,3.713,0.8,1,fae,tf2ekjffoeoptr3,Sequence,10
7,13,7.498,0.3333333333333333,1,fae,tf2ekjffoeoptr3,Sequence,11
5,9,8.288,1,1,fae,tf2ekjffoeoptr3,Sequence,12
5,9,6.588,1,1,fae,tf2ekjffoeoptr3,Sequence,13
6,11,6.129,1,0,fae,tf2ekjffoeoptr3,Sequence,14
1,1,4.886,1,1,fae,tf2ekjffoeoptr3,Sequence,15
2,3,1.732,1,1,fae,tf2ekjffoeoptr3,Sequence,16
5,9,6.98,0.5333333333333333,1,fae,tf2ekjffoeoptr3,Sequence,17
7,12,9.5,0.8,1,fae,tf2ekjffoeoptr3,Sequence,18
2,3,1.666,1,1,fae,tf2ekjffoeoptr3,Sequence,19
5,9,21.116,1,1,fae,tf2ekjffoeoptr3,Sequence,20
2,3,11.925,1,1,fae,tf2ekjffoeoptr3,Sequence,21
3,5,2.342,1,1,fae,tf2ekjffoeoptr3,Sequence,22
4,7,7.613,1,1,fae,tf2ekjffoeoptr3,Sequence,23
4,7,7.615,1,1,fae,tf2ekjffoeoptr3,Sequence,24
2,3,4.883,0.9333333333333333,1,fae,tf2ekjffoeoptr3,Sequence,25
2,3,1.245,1,1,fae,tf2ekjffoeoptr3,Sequence,26
3,5,1.991,1,1,fae,tf2ekjffoeoptr3,Sequence,27
7,10,7.611,0.7333333333333333,1,fae,tf2ekjffoeoptr3,Sequence,28
4,7,9.728,1,1,fae,tf2ekjffoeoptr3,Sequence,29
1,1,1.302,1,1,fae,tf2ekjffoeoptr3,Sequence,30
3,5,2.042,1,1,fae,tf2ekjffoeoptr3,Sequence,31
6,9,7.983,1,1,fae,tf2ekjffoeoptr3,Sequence,32
1,1,1.181,1,1,fae,tf2ekjffoeoptr3,Sequence,33
7,10,9.416,0.6666666666666666,1,fae,tf2ekjffoeoptr3,Sequence,34
1,1,0.781,1,1,fae,tf2ekjffoeoptr3,Sequence,35
1,1,0.704,1,1,a,tf2ekjffoeoptr3,None,1
3,5,1.971,0.9333333333333333,1,a,tf2ekjffoeoptr3,None,2
2,3,0.928,1,1,a,tf2ekjffoeoptr3,None,3
4,7,5.882,0.8,1,a,tf2ekjffoeoptr3,None,4
7,10,7.93,0.26666666666666666,1,a,tf2ekjffoeoptr3,None,5
5,8,8.501,1,1,a,tf2ekjffoeoptr3,None,6
7,9,8.605,0.26666666666666666,1,a,tf2ekjffoeoptr3,None,7
5,7,9.064,1,1,a,tf2ekjffoeoptr3,None,8
1,1,0.779,1,1,a,tf2ekjffoeoptr3,None,9
1,1,0.817,1,1,a,tf2ekjffoeoptr3,None,10
4,5,7.954,1,1,a,tf2ekjffoeoptr3,None,11
5,6,7.706,1,1,a,tf2ekjffoeoptr3,None,12
6,7,6.66,0.4666666666666667,1,a,tf2ekjffoeoptr3,None,13
4,6,15.665,0.8,1,a,tf2ekjffoeoptr3,None,14
1,1,0.964,1,1,a,tf2ekjffoeoptr3,None,15
3,5,2.198,0.8,1,a,tf2ekjffoeoptr3,None,16
6,8,6.5,0.7333333333333333,1,a,tf2ekjffoeoptr3,None,17
4,6,19.032,1,1,a,tf2ekjffoeoptr3,None,18
1,1,0.781,1,1,a,tf2ekjffoeoptr3,None,19
6,7,6.8,0.4666666666666667,1,a,tf2ekjffoeoptr3,None,20
6,8,8.049,0.4666666666666667,1,a,tf2ekjffoeoptr3,None,21
2,3,0.847,0.4666666666666667,1,a,tf2ekjffoeoptr3,None,22
2,3,1.11,1,1,a,tf2ekjffoeoptr3,None,23
7,8,7.104,0.6666666666666666,1,a,tf2ekjffoeoptr3,None,24
2,3,1.163,1,1,a,tf2ekjffoeoptr3,None,25
3,4,3.062,1,1,a,tf2ekjffoeoptr3,None,26
2,2,1.208,1,1,a,tf2ekjffoeoptr3,None,27
6,7,6.3,0.5333333333333333,1,a,tf2ekjffoeoptr3,None,28
3,5,2.646,0.6,1,a,tf2ekjffoeoptr3,None,29
3,5,1.902,1,1,a,tf2ekjffoeoptr3,None,30
7,6,6.647,0.06666666666666667,1,a,tf2ekjffoeoptr3,None,31
5,6,6.809,0.6,1,a,tf2ekjffoeoptr3,None,32
5,6,9.649,0,1,a,tf2ekjffoeoptr3,None,33
4,7,7.609,0.9333333333333333,1,a,tf2ekjffoeoptr3,None,34
7,13,7.061,0.6,1,a,tf2ekjffoeoptr3,None,35
6,11,5.268,0.65,1,a,4r8fa9xh0zzco6o,Query,1
