subject,nStartParticles,Nr_of_mutations,LL
bp49s1tkfbb8xru,1,10000,104.50537631114793
vrlt89awtbuehfx,1,1,177.83024026533607
vrlt89awtbuehfx,1,5,169.58328232460227
vrlt89awtbuehfx,1,10,169.20725092621964
vrlt89awtbuehfx,1,100,170.388431436275
vrlt89awtbuehfx,1,1000,173.17969518896817
vrlt89awtbuehfx,1,10000,172.7947322530592
5l5ksa2v5z1xcrs,1,1,138.6367811544071
5l5ksa2v5z1xcrs,1,5,140.71790496915003
5l5ksa2v5z1xcrs,1,10,139.87585392099697
5l5ksa2v5z1xcrs,1,100,139.23901228464027
5l5ksa2v5z1xcrs,1,1000,139.0827683087707
5l5ksa2v5z1xcrs,1,10000,139.38190308413687
m50kxs0ne7ln5xe,1,1,147.85601188075566
m50kxs0ne7ln5xe,1,5,151.67310135909628
m50kxs0ne7ln5xe,1,10,155.8581338247132
m50kxs0ne7ln5xe,1,100,154.571051248879
m50kxs0ne7ln5xe,1,1000,153.53406053419585
m50kxs0ne7ln5xe,1,10000,155.04486702135662
wdhmud3k27y9347,1,1,158.52930348217575
wdhmud3k27y9347,1,5,154.28340882716049
wdhmud3k27y9347,1,10,153.66929170704896
wdhmud3k27y9347,1,100,153.81558784952972
wdhmud3k27y9347,1,1000,155.8164406529942
wdhmud3k27y9347,1,10000,156.1239917409779
s0kptdmjr5nhxj4,1,1,126.07368682597652
s0kptdmjr5nhxj4,1,5,126.41788994850623
s0kptdmjr5nhxj4,1,10,128.19712349743358
s0kptdmjr5nhxj4,1,100,131.68690677955777
s0kptdmjr5nhxj4,1,1000,128.23521901374497
s0kptdmjr5nhxj4,1,10000,130.91910048586593
x03mf9pz89y5s1k,1,1,166.17101836673825
x03mf9pz89y5s1k,1,5,171.26783264235752
x03mf9pz89y5s1k,1,10,165.6276952389855
x03mf9pz89y5s1k,1,100,166.90585374295938
x03mf9pz89y5s1k,1,1000,167.18547022008735
x03mf9pz89y5s1k,1,10000,168.87576832649486
k45h5lxk13xjkxs,1,1,177.6622455574884
k45h5lxk13xjkxs,1,5,177.4657340847164
k45h5lxk13xjkxs,1,10,177.1869263783646
k45h5lxk13xjkxs,1,100,179.24250468789347
k45h5lxk13xjkxs,1,1000,177.79994790414554
k45h5lxk13xjkxs,1,10000,178.90873722543557
mqng9gal5nqwgz9,1,1,201.3969138682564
mqng9gal5nqwgz9,1,5,198.76959255583066
mqng9gal5nqwgz9,1,10,200.56938664703307
mqng9gal5nqwgz9,1,100,195.4012099718287
mqng9gal5nqwgz9,1,1000,195.2950630657746
mqng9gal5nqwgz9,1,10000,198.02458112085856
fhx07b8nwvnqhok,1,1,174.59510479656106
fhx07b8nwvnqhok,1,5,175.10666041805783
fhx07b8nwvnqhok,1,10,175.69875362890534
fhx07b8nwvnqhok,1,100,174.21005742003632
fhx07b8nwvnqhok,1,1000,174.85326034415522
fhx07b8nwvnqhok,1,10000,177.3398487811597
z4po88qwrs63ldg,1,1,156.0662517407698
z4po88qwrs63ldg,1,5,158.26163308258967
z4po88qwrs63ldg,1,10,161.45102082770896
z4po88qwrs63ldg,1,100,162.57631761024044
z4po88qwrs63ldg,1,1000,162.63257223089093
z4po88qwrs63ldg,1,10000,161.72594083031734
xyvdwfe8z64oyoz,1,1,180.75419382732795
