subject,nStartParticles,particles_to_mutate,LL
y0g9hknjyys0m49,20,5,187.70891047742106
y0g9hknjyys0m49,20,10,186.2108916543002
y0g9hknjyys0m49,100,5,182.8509566238736
y0g9hknjyys0m49,100,10,185.93058373260374
y0g9hknjyys0m49,100,50,188.7166804533928
y0g9hknjyys0m49,1000,50,185.053140298939
y0g9hknjyys0m49,1000,500,188.95231578607093
y0g9hknjyys0m49,1000,750,190.34062811024617
y0g9hknjyys0m49,10000,500,183.67875889258906
y0g9hknjyys0m49,10000,750,183.71544968144602
y0g9hknjyys0m49,10000,1000,182.7027610337583
y0g9hknjyys0m49,10000,5000,190.1664289997695
y0g9hknjyys0m49,10000,7500,189.19556113468926
uet3pdw7hgm1hea,5,1,158.24851981684512
uet3pdw7hgm1hea,5,2,159.0989635229144
uet3pdw7hgm1hea,5,3,159.27752631628826
uet3pdw7hgm1hea,5,4,159.84801259605013
uet3pdw7hgm1hea,10,1,157.81210344908018
uet3pdw7hgm1hea,10,2,158.18513583216654
uet3pdw7hgm1hea,10,3,157.84211034380337
uet3pdw7hgm1hea,10,4,158.40055752485273
uet3pdw7hgm1hea,10,5,156.84382871074445
uet3pdw7hgm1hea,15,1,157.32381963123854
uet3pdw7hgm1hea,15,2,156.4136954962013
uet3pdw7hgm1hea,15,3,157.61192798760453
uet3pdw7hgm1hea,15,4,157.62174920249615
uet3pdw7hgm1hea,15,5,158.9597106210364
uet3pdw7hgm1hea,15,10,159.2603027899135
uet3pdw7hgm1hea,20,1,156.95866741065421
uet3pdw7hgm1hea,20,2,158.99222943941277
uet3pdw7hgm1hea,20,3,158.00747568807773
uet3pdw7hgm1hea,20,4,157.8929019715645
uet3pdw7hgm1hea,20,5,158.15509244458877
uet3pdw7hgm1hea,20,10,158.52938215414318
uet3pdw7hgm1hea,100,5,158.17184977495765
uet3pdw7hgm1hea,100,10,159.42182027184805
uet3pdw7hgm1hea,100,50,158.37915752181155
uet3pdw7hgm1hea,1000,50,158.0454305759803
uet3pdw7hgm1hea,1000,500,159.3063980544852
uet3pdw7hgm1hea,1000,750,157.33066693952333
uet3pdw7hgm1hea,10000,500,158.0702775279603
uet3pdw7hgm1hea,10000,750,158.75175987068857
uet3pdw7hgm1hea,10000,1000,158.70352049572884
uet3pdw7hgm1hea,10000,5000,160.4197538453837
uet3pdw7hgm1hea,10000,7500,159.87144665516755
2het2jcuqxrh16x,5,1,195.31777470048735
2het2jcuqxrh16x,5,2,194.3291729399399
2het2jcuqxrh16x,5,3,195.47988873803843
2het2jcuqxrh16x,5,4,198.16381300206828
2het2jcuqxrh16x,10,1,194.4151767449778
2het2jcuqxrh16x,10,2,197.7673827989936
2het2jcuqxrh16x,10,3,195.938379563619
2het2jcuqxrh16x,10,4,196.88963680797562
2het2jcuqxrh16x,10,5,198.72999861129054
2het2jcuqxrh16x,15,1,193.356515115286
2het2jcuqxrh16x,15,2,194.98150855294278
2het2jcuqxrh16x,15,3,196.91059430145341
2het2jcuqxrh16x,15,4,196.87560012421534
2het2jcuqxrh16x,15,5,195.90551551059863
2het2jcuqxrh16x,15,10,197.86596481476565
2het2jcuqxrh16x,20,1,193.1077019514774
2het2jcuqxrh16x,20,2,195.6885794115774
2het2jcuqxrh16x,20,3,196.46417070752625
2het2jcuqxrh16x,20,4,197.40052685188888
2het2jcuqxrh16x,20,5,195.5306153911536
2het2jcuqxrh16x,20,10,193.13422859484473
2het2jcuqxrh16x,100,5,192.79297830528327
2het2jcuqxrh16x,100,10,196.43409038158885
2het2jcuqxrh16x,100,50,196.08708495602397
2het2jcuqxrh16x,1000,50,194.16985453891428
2het2jcuqxrh16x,1000,500,196.67085279828675
2het2jcuqxrh16x,1000,750,194.71815616700212
2het2jcuqxrh16x,10000,500,195.05728240556095
2het2jcuqxrh16x,10000,750,195.56227326159848
2het2jcuqxrh16x,10000,1000,194.77673864177092
2het2jcuqxrh16x,10000,5000,197.38634295602472
2het2jcuqxrh16x,10000,7500,194.32773602456885
pqo0sdtzqqhkq76,5,1,147.57570540531412
pqo0sdtzqqhkq76,5,2,146.41465992461846
pqo0sdtzqqhkq76,5,3,151.34081830022285
pqo0sdtzqqhkq76,5,4,149.05491261696045
pqo0sdtzqqhkq76,10,1,148.07847417062533
pqo0sdtzqqhkq76,10,2,148.0300282680684
pqo0sdtzqqhkq76,10,3,152.41454207622658
pqo0sdtzqqhkq76,10,4,149.8264655113744
pqo0sdtzqqhkq76,10,5,150.70598697338158
pqo0sdtzqqhkq76,15,1,148.1379502067426
pqo0sdtzqqhkq76,15,2,148.93277710627353
pqo0sdtzqqhkq76,15,3,150.88398289193051
pqo0sdtzqqhkq76,15,4,149.6357008565598
pqo0sdtzqqhkq76,15,5,151.22537161213202
pqo0sdtzqqhkq76,15,10,151.28993855939842
pqo0sdtzqqhkq76,20,1,146.72164150967438
pqo0sdtzqqhkq76,20,2,146.3399801873277
pqo0sdtzqqhkq76,20,3,148.0252227336089
pqo0sdtzqqhkq76,20,4,148.63221434613303
pqo0sdtzqqhkq76,20,5,151.8653111113304
pqo0sdtzqqhkq76,20,10,150.8279521954277
pqo0sdtzqqhkq76,100,5,145.94237121534152
pqo0sdtzqqhkq76,100,10,146.65911976560122
pqo0sdtzqqhkq76,100,50,151.23351404741692
pqo0sdtzqqhkq76,1000,50,148.357702477442
pqo0sdtzqqhkq76,1000,500,154.03901104258725
pqo0sdtzqqhkq76,1000,750,150.9738924391418
pqo0sdtzqqhkq76,10000,500,147.91859874613255
pqo0sdtzqqhkq76,10000,750,148.40230447185917
pqo0sdtzqqhkq76,10000,1000,147.56304568379912
pqo0sdtzqqhkq76,10000,5000,150.0495321471311
pqo0sdtzqqhkq76,10000,7500,151.58037944604672
g63luoo50ve7yyn,5,1,177.75329175313084
g63luoo50ve7yyn,5,2,179.56279928435362
g63luoo50ve7yyn,5,3,182.9577190319615
g63luoo50ve7yyn,5,4,181.53866887086156
g63luoo50ve7yyn,10,1,177.67001842059918
g63luoo50ve7yyn,10,2,176.45229563109373
g63luoo50ve7yyn,10,3,176.68734332598007
g63luoo50ve7yyn,10,4,178.24879299880635
g63luoo50ve7yyn,10,5,177.41241132388407
g63luoo50ve7yyn,15,1,177.82601442250728
g63luoo50ve7yyn,15,2,181.60750657513967
g63luoo50ve7yyn,15,3,178.2793552107863
g63luoo50ve7yyn,15,4,179.23087655185898
g63luoo50ve7yyn,15,5,179.25771440180282
g63luoo50ve7yyn,15,10,181.3348464152959
g63luoo50ve7yyn,20,1,178.7791809088142
g63luoo50ve7yyn,20,2,177.89764868356323
g63luoo50ve7yyn,20,3,178.18764991471252
g63luoo50ve7yyn,20,4,178.26483230652966
g63luoo50ve7yyn,20,5,179.0735299854254
g63luoo50ve7yyn,20,10,177.75271561224642
g63luoo50ve7yyn,100,5,178.4027454252228
g63luoo50ve7yyn,100,10,178.60563107414032
g63luoo50ve7yyn,100,50,181.52149536298725
g63luoo50ve7yyn,1000,50,177.15312645663104
g63luoo50ve7yyn,1000,500,180.45373170051477
g63luoo50ve7yyn,1000,750,181.3087238171553
g63luoo50ve7yyn,10000,500,178.0631582222711
g63luoo50ve7yyn,10000,750,178.68182131084382
g63luoo50ve7yyn,10000,1000,179.19723736514658
g63luoo50ve7yyn,10000,5000,183.76777786195467
g63luoo50ve7yyn,10000,7500,180.48498902676087
5vuexcfs8r2v26t,5,1,188.39036661512188
5vuexcfs8r2v26t,5,2,188.17831094989236
5vuexcfs8r2v26t,5,3,187.6005666895914
5vuexcfs8r2v26t,5,4,188.3937640852013
5vuexcfs8r2v26t,10,1,187.41526557128503
5vuexcfs8r2v26t,10,2,188.9543362213739
5vuexcfs8r2v26t,10,3,189.2854978706787
5vuexcfs8r2v26t,10,4,189.86351384064167
5vuexcfs8r2v26t,10,5,189.9506397301146
5vuexcfs8r2v26t,15,1,186.81036180947117
5vuexcfs8r2v26t,15,2,187.8935095129978
5vuexcfs8r2v26t,15,3,188.6771094605607
5vuexcfs8r2v26t,15,4,189.3606252686922
5vuexcfs8r2v26t,15,5,190.14079806773844
5vuexcfs8r2v26t,15,10,189.72928398427527
5vuexcfs8r2v26t,20,1,184.451940302079
5vuexcfs8r2v26t,20,2,186.14910176961143
5vuexcfs8r2v26t,20,3,185.4140313222867
5vuexcfs8r2v26t,20,4,188.95718498332144
5vuexcfs8r2v26t,20,5,188.34617107962396
5vuexcfs8r2v26t,20,10,191.19531593838948
5vuexcfs8r2v26t,100,5,186.45441593022278
5vuexcfs8r2v26t,100,10,187.1096841888723
5vuexcfs8r2v26t,100,50,188.35241848969724
5vuexcfs8r2v26t,1000,50,188.0518258627744
5vuexcfs8r2v26t,1000,500,193.88582915827718
5vuexcfs8r2v26t,1000,750,191.30984718817
5vuexcfs8r2v26t,10000,500,189.12753082728767
5vuexcfs8r2v26t,10000,750,186.89344526555792
5vuexcfs8r2v26t,10000,1000,189.50203619103434
5vuexcfs8r2v26t,10000,5000,191.4707526906846
5vuexcfs8r2v26t,10000,7500,192.7255172698808
us6grs84gamvlyg,5,1,111.3854110098331
us6grs84gamvlyg,5,2,112.28927304516942
us6grs84gamvlyg,5,3,110.36352307042573
us6grs84gamvlyg,5,4,111.43885878940931
us6grs84gamvlyg,10,1,111.10803107029291
us6grs84gamvlyg,10,2,111.25931815769992
us6grs84gamvlyg,10,3,111.12481050561699
us6grs84gamvlyg,10,4,113.62481199155793
us6grs84gamvlyg,10,5,112.1817508663293
us6grs84gamvlyg,15,1,110.54560356842593
